フォーマット,,,,,,,,,,,,,,,,,,,,,,,,,
,フォームファイル名,,ファイル名,,,,,,,,,,,,,,,,,,,,,,
,ファームタイトル,,タイトル名,説明文,,,,,,,,,,,,,,,,,,,,,
次のセクション？,セクションタイトル,,タイトル,説明文,,,,,,,,,,,,,,,,,,,,,
,タイトル,,タイトル,説明文,,,,,,,,,,,,,,,,,,,,,
,記述式,必須？,質問文,説明文,,,,,,,,,,,,,,,,,,,,,
,段落,必須？,質問文,説明文,,,,,,,,,,,,,,,,,,,,,
,ラジオボタン,必須？,質問文,説明文,その他あり？,選択肢１,選択肢２,選択肢...,,,,,,,,,,,,,,,,,
,チェックボックス,必須？,質問文,説明文,その他あり？,選択肢１,選択肢２,選択肢...,,,,,,,,,,,,,,,,,
,プルダウン,必須？,質問文,説明文,選択肢１,選択肢２,選択肢...,,,,,,,,,,,,,,,,,,
,均等目盛,必須？,質問文,説明文,0か1,2~10,小さい方のラベル,大きい方のラベル,,,,,,,,,,,,,,,,,
,日付,必須？,質問文,説明文,年を含む？,,,,,,,,,,,,,,,,,,,,
,日付と時刻,必須？,質問文,説明文,,,,,,,,,,,,,,,,,,,,,
,時刻,必須？,質問文,説明文,,,,,,,,,,,,,,,,,,,,,
,持続時間,必須？,質問文,説明文,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
_FORM,,,,,,,,,,,,,,,,,,,,,,,,,
,フォームファイル名,,食べ物アンケート,,,,,,,,,,,,,,,,,,,,,,
,フォームタイトル,,食べ物に関するアンケート,所要時間は3分です。,,,,,,,,,,,,,,,,,,,,,
_BEGIN,,,,,,,,,,,,,,,,,,,,,,,,,
,タイトル,,プロフィール,あなたの基本属性を教えてください。,,,,,,,,,,,,,,,,,,,,,
,日付,,生年月日を教えてください。,,年を含む,,,,,,,,,,,,,,,,,,,,
,ラジオボタン,必須,性別を選択してください。,,その他あり,男,女,,,,,,,,,,,,,,,,,,
,プルダウン,,お住いの地方を選択してください。,,北海道,東北,関東,中部,近畿,中国,四国,九州,,,,,,,,,,,,,
次のセクション,セクションタイトル,,果物について,,,,,,,,,,,,,,,,,,,,,,
,記述式,,最も好きな果物を教えてください。,,,,,,,,,,,,,,,,,,,,,,
,ラジオボタン,,どれくらいの頻度で果物を食べますか。,,その他なし,毎日,数日に一回,週に一回,月に一回,,,,,,,,,,,,,,,,
次のセクション,セクションタイトル,,野菜について,根菜類を含みます。,,,,,,,,,,,,,,,,,,,,,
,記述式,,最も好きな野菜を教えてください。,,,,,,,,,,,,,,,,,,,,,,
,段落,,その野菜を好きになったエピソードがあれば教えてください。,,,,,,,,,,,,,,,,,,,,,,
,均等目盛,,ゴーヤは好きですか。,,1,5,とても好き,とても嫌い,,,,,,,,,,,,,,,,,
,均等目盛,,パクチーは好きですか。,コリアンダーともいう。,1,5,とても好き,とても嫌い,,,,,,,,,,,,,,,,,
次のセクション,セクションタイトル,,外食について,,,,,,,,,,,,,,,,,,,,,,
,ラジオボタン,,どれくらいの頻度で外食しますか。,,その他なし,毎日,数日に一回,週に一回,月に一回以下,,,,,,,,,,,,,,,,
,日付と時刻,,最後に外食した日付と時刻を教えてください。,,,,,,,,,,,,,,,,,,,,,,
,チェックボックス,,好きな牛丼屋を選択してください。,複数選択可。,その他あり,すき家,吉野家,松屋,なか卯,,,,,,,,,,,,,,,,
次のセクション,セクションタイトル,,食事時間,,,,,,,,,,,,,,,,,,,,,,
,時刻,,夕食を取る時間を教えてください。,,,,,,,,,,,,,,,,,,,,,,
,持続時間,,食事にかける時間を教えてください。,,経過時間,,,,,,,,,,,,,,,,,,,,
次のセクション,タイトル,,アンケート終了です。,ご協力ありがとうございました。,,,,,,,,,,,,,,,,,,,,,
_END,,,,,,,,,,,,,,,,,,,,,,,,,